Nauru,6,2,0,0,10,1
Nepal,5,1,140,16,10,4
Netherlands,3,1,41,14,6,1
Netherlands-Antilles,1,4,0,0,6,1
New-Zealand,6,2,268,2,1,1
Nicaragua,1,4,128,3,2,0
Niger,4,1,1267,5,3,2
Nigeria,4,1,925,56,10,2
Niue,6,3,0,0,1,1
North-Korea,5,1,121,18,10,6
North-Yemen,5,1,195,9,8,2
Norway,3,1,324,4,6,1
Oman,5,1,212,1,8,2
Pakistan,5,1,804,84,6,2
Panama,2,4,76,2,2,0
Papua-New-Guinea,6,2,463,3,1,5
Parguay,2,3,407,3,2,0
Peru,2,3,1285,14,2,0
Philippines,6,1,300,48,10,0
Poland,3,1,313,36,5,6
Portugal,3,4,92,10,6,0
Puerto-Rico,1,4,9,3,2,0
Qatar,5,1,11,0,8,2
Romania,3,1,237,22,6,6
Rwanda,4,2,26,5,10,5
San-Marino,3,1,0,0,6,0
Sao-Tome,4,1,0,0,6,0
Saudi-Arabia,5,1,2150,9,8,2
Senegal,4,4,196,6,3,2
Seychelles,4,2,0,0,1,1
Sierra-Leone,4,4,72,3,1,5
Singapore,5,1,1,3,7,3
Soloman-Islands,6,2,30,0,1,1
Somalia,4,1,637,5,10,2
South-Africa,4,2,1221,29,6,1
South-Korea,5,1,99,39,10,7
South-Yemen,5,1,288,2,8,2
Spain,3,4,505,38,2,0
Sri-Lanka,5,1,66,15,10,3
St-Helena,4,3,0,0,1,1
St-Kitts-Nevis,1,4,0,0,1,1
St-Lucia,1,4,0,0,1,1
St-Vincent,1,4,0,0,1,1
Sudan,4,1,2506,20,8,2
Surinam,2,4,63,0,6,1
Swaziland,4,2,17,1,10,1
Sweden,3,1,450,8,6,1
Switzerland,3,1,41,6,4,1
Syria,5,1,185,10,8,2
Taiwan,5,1,36,18,7,3
Tanzania,4,2,945,18,10,5
Thailand,5,1,514,49,10,3
Togo,4,1,57,2,3,7
Tonga,6,2,1,0,10,1
Trinidad-Tobago,2,4,5,1,1,1
Tunisia,4,1,164,7,8,2
Turkey,5,1,781,45,9,2
Turks-Cocos-Islands,1,4,0,0,1,1
Tuvalu,6,2,0,0,1,1
UAE,5,1,84,1,8,2
Uganda,4,1,236,13,10,5
UK,3,4,245,56,1,1
Uruguay,2,3,178,3,2,0
US-Virgin-Isles,1,4,0,0,1,1
USA,1,4,9363,231,1,1
USSR,5,1,22402,274,5,6
Vanuatu,6,2,15,0,6,1
Vatican-City,3,1,0,0,6,0
Venezuela,2,4,912,15,2,0
Vietnam,5,1,333,60,10,6
Western-Samoa,6,3,3,0,1,1
Yugoslavia,3,1,256,22,6,6
Zaire,4,2,905,28,10,5
Zambia,4,2,753,6,10,5
Zimbabwe,4,2,391,8,10,5
